unsupported_exit_extra_penalty_bps,period_type,period,net_return
25,weekly,2024-07-06/2024-07-12,0.0
25,weekly,2024-07-13/2024-07-19,0.0
25,weekly,2024-07-20/2024-07-26,0.0115738041229385
25,weekly,2024-07-27/2024-08-02,0.0065108033417926
25,weekly,2024-08-03/2024-08-09,-0.005556256709175827
25,weekly,2024-08-10/2024-08-16,0.0
25,weekly,2024-08-17/2024-08-23,0.0043996643545514
25,weekly,2024-08-24/2024-08-30,0.0
25,weekly,2024-08-31/2024-09-06,0.019558237449092755
25,weekly,2024-09-07/2024-09-13,0.0
25,weekly,2024-09-14/2024-09-20,0.0038728653138894844
25,weekly,2024-09-21/2024-09-27,0.0082782895179693
25,weekly,2024-09-28/2024-10-04,0.0
25,weekly,2024-10-05/2024-10-11,0.0
25,weekly,2024-10-12/2024-10-18,0.0
25,weekly,2024-10-19/2024-10-25,0.0
25,weekly,2024-10-26/2024-11-01,0.0
25,weekly,2024-11-02/2024-11-08,0.0
25,weekly,2024-11-09/2024-11-15,0.0
25,weekly,2024-11-16/2024-11-22,0.0
25,weekly,2024-11-23/2024-11-29,0.0
25,weekly,2024-11-30/2024-12-06,0.0
25,weekly,2024-12-07/2024-12-13,0.0
25,weekly,2024-12-14/2024-12-20,0.0
25,weekly,2024-12-21/2024-12-27,0.0
25,weekly,2024-12-28/2025-01-03,0.0
25,weekly,2025-01-04/2025-01-10,0.0
25,weekly,2025-01-11/2025-01-17,0.0
25,weekly,2025-01-18/2025-01-24,0.0
25,weekly,2025-01-25/2025-01-31,0.0
25,weekly,2025-02-01/2025-02-07,0.0
25,weekly,2025-02-08/2025-02-14,0.0
25,weekly,2025-02-15/2025-02-21,0.0
25,weekly,2025-02-22/2025-02-28,0.0
25,weekly,2025-03-01/2025-03-07,0.0018970384324439001
25,weekly,2025-03-08/2025-03-14,-0.0105604405463557
25,weekly,2025-03-15/2025-03-21,-0.00508509472315
25,weekly,2025-03-22/2025-03-28,0.0
25,weekly,2025-03-29/2025-04-04,-0.015243706567272999
25,weekly,2025-04-05/2025-04-11,0.2514322346856651
25,weekly,2025-04-12/2025-04-18,-0.0001676199782112
25,weekly,2025-04-19/2025-04-25,-0.0026696927434616
25,weekly,2025-04-26/2025-05-02,0.0
25,weekly,2025-05-03/2025-05-09,0.0
25,weekly,2025-05-10/2025-05-16,0.0
25,weekly,2025-05-17/2025-05-23,0.0
25,weekly,2025-05-24/2025-05-30,0.0
25,weekly,2025-05-31/2025-06-06,0.0
25,weekly,2025-06-07/2025-06-13,0.0
25,weekly,2025-06-14/2025-06-20,0.0
25,weekly,2025-06-21/2025-06-27,0.0
25,weekly,2025-06-28/2025-07-04,0.0
25,weekly,2025-07-05/2025-07-11,0.0
25,weekly,2025-07-12/2025-07-18,0.0
25,weekly,2025-07-19/2025-07-25,0.0
25,weekly,2025-07-26/2025-08-01,0.0
25,weekly,2025-08-02/2025-08-08,0.0
25,weekly,2025-08-09/2025-08-15,0.0
25,weekly,2025-08-16/2025-08-22,-0.0140680984507746
25,weekly,2025-08-23/2025-08-29,0.0
25,weekly,2025-08-30/2025-09-05,0.0
25,weekly,2025-09-06/2025-09-12,0.0
25,weekly,2025-09-13/2025-09-19,0.0
25,weekly,2025-09-20/2025-09-26,0.0
25,weekly,2025-09-27/2025-10-03,0.0
25,weekly,2025-10-04/2025-10-10,0.0
25,weekly,2025-10-11/2025-10-17,0.0
25,weekly,2025-10-18/2025-10-24,0.0
25,weekly,2025-10-25/2025-10-31,0.006407614931416001
25,weekly,2025-11-01/2025-11-07,0.0
25,weekly,2025-11-08/2025-11-14,0.0
25,weekly,2025-11-15/2025-11-21,-0.0172920533255637
25,weekly,2025-11-22/2025-11-28,0.0
25,weekly,2025-11-29/2025-12-05,0.0
25,weekly,2025-12-06/2025-12-12,0.0
25,weekly,2025-12-13/2025-12-19,0.0
25,weekly,2025-12-20/2025-12-26,0.0
25,weekly,2025-12-27/2026-01-02,0.0
25,weekly,2026-01-03/2026-01-09,0.0
25,weekly,2026-01-10/2026-01-16,0.0
25,weekly,2026-01-17/2026-01-23,0.0
25,weekly,2026-01-24/2026-01-30,0.0
25,weekly,2026-01-31/2026-02-06,0.017818620204401996
25,weekly,2026-02-07/2026-02-13,0.0
25,weekly,2026-02-14/2026-02-20,0.0083254687763178
25,weekly,2026-02-21/2026-02-27,0.0
25,weekly,2026-02-28/2026-03-06,0.0
25,weekly,2026-03-07/2026-03-13,0.0
25,weekly,2026-03-14/2026-03-20,0.0
25,weekly,2026-03-21/2026-03-27,0.0
25,weekly,2026-03-28/2026-04-03,0.0008546048298572
25,weekly,2026-04-04/2026-04-10,0.0
25,weekly,2026-04-11/2026-04-17,0.0
25,weekly,2026-04-18/2026-04-24,0.0
25,weekly,2026-04-25/2026-05-01,0.0
25,monthly,2019-06,0.0
25,monthly,2019-07,0.0
25,monthly,2019-08,-0.0223722133491803
25,monthly,2019-09,-0.0037735329229605
25,monthly,2019-10,-0.0020062077243008
25,monthly,2019-11,0.0
25,monthly,2019-12,0.0
25,monthly,2020-01,0.001657124379597
25,monthly,2020-02,-0.0192952112211817
25,monthly,2020-03,0.07966748867432662
25,monthly,2020-04,-0.0192978250035115
25,monthly,2020-05,0.0
25,monthly,2020-06,-0.0114041729135431
25,monthly,2020-07,-0.0003381040562275
25,monthly,2020-08,0.0
25,monthly,2020-09,0.007133439727621399
25,monthly,2020-10,-0.0024392053973012
25,monthly,2020-11,0.0043871865067051
25,monthly,2020-12,0.0
25,monthly,2021-01,0.0
25,monthly,2021-02,0.0
25,monthly,2021-03,0.028038045961504214
25,monthly,2021-04,0.0
25,monthly,2021-05,0.0
25,monthly,2021-06,-0.0031907091532025
25,monthly,2021-07,0.0
25,monthly,2021-08,0.0
25,monthly,2021-09,0.0
25,monthly,2021-10,0.0
25,monthly,2021-11,0.0
25,monthly,2021-12,0.0210068657786366
25,monthly,2022-01,0.0222040370462177
25,monthly,2022-02,-0.0084553226357008
25,monthly,2022-03,-0.0190966900699802
25,monthly,2022-04,0.0082759946555515
25,monthly,2022-05,-0.019891596532338993
25,monthly,2022-06,0.04676663777224109
25,monthly,2022-07,0.0015333824088804003
25,monthly,2022-08,0.007872817497189901
25,monthly,2022-09,-0.0438005502510917
25,monthly,2022-10,0.003447324473454798
25,monthly,2022-11,0.004793951033214099
25,monthly,2022-12,0.0217182375482848
25,monthly,2023-01,-0.004331872723580699
25,monthly,2023-02,-0.0189737603548361
25,monthly,2023-03,0.0078042585846330005
25,monthly,2023-04,0.0
25,monthly,2023-05,0.0
25,monthly,2023-06,0.0
25,monthly,2023-07,0.0
25,monthly,2023-08,0.0
25,monthly,2023-09,0.0
25,monthly,2023-10,0.0
25,monthly,2023-11,0.0
25,monthly,2023-12,0.0
25,monthly,2024-01,0.0
25,monthly,2024-02,0.0
25,monthly,2024-03,0.0
25,monthly,2024-04,0.0
25,monthly,2024-05,0.0
25,monthly,2024-06,0.0
25,monthly,2024-07,0.0115738041229385
25,monthly,2024-08,0.005354210987168173
25,monthly,2024-09,0.03170939228095154
25,monthly,2024-10,0.0
25,monthly,2024-11,0.0
25,monthly,2024-12,0.0
25,monthly,2025-01,0.0
25,monthly,2025-02,0.0
25,monthly,2025-03,-0.013748496837061799
25,monthly,2025-04,0.2333512153967193
25,monthly,2025-05,0.0
25,monthly,2025-06,0.0
25,monthly,2025-07,0.0
25,monthly,2025-08,-0.0140680984507746
25,monthly,2025-09,0.0
25,monthly,2025-10,0.006407614931416001
25,monthly,2025-11,-0.0172920533255637
25,monthly,2025-12,0.0
25,monthly,2026-01,0.0
25,monthly,2026-02,0.026144088980719796
25,monthly,2026-03,0.0
25,monthly,2026-04,0.0008546048298572
25,yearly,2019,-0.0281519539964416
25,yearly,2020,0.04007072069648511
25,yearly,2021,0.045854202586938314
25,yearly,2022,0.025368222945922593
25,yearly,2023,-0.0155013744937838
25,yearly,2024,0.04863740739105821
25,yearly,2025,0.19465018171473522
25,yearly,2026,0.026998693810576995
50,weekly,2019-06-15/2019-06-21,0.0
50,weekly,2019-06-22/2019-06-28,0.0
50,weekly,2019-06-29/2019-07-05,0.0
50,weekly,2019-07-06/2019-07-12,0.0
50,weekly,2019-07-13/2019-07-19,0.0
50,weekly,2019-07-20/2019-07-26,0.0
50,weekly,2019-07-27/2019-08-02,0.0
50,weekly,2019-08-03/2019-08-09,0.0
50,weekly,2019-08-10/2019-08-16,-0.0018985074371206
50,weekly,2019-08-17/2019-08-23,-0.0216096559120597
50,weekly,2019-08-24/2019-08-30,0.0
50,weekly,2019-08-31/2019-09-06,0.0
50,weekly,2019-09-07/2019-09-13,0.0
50,weekly,2019-09-14/2019-09-20,-0.0049694079229605
50,weekly,2019-09-21/2019-09-27,0.0
50,weekly,2019-09-28/2019-10-04,-0.0003624150963234
50,weekly,2019-10-05/2019-10-11,-0.0016437926279774
50,weekly,2019-10-12/2019-10-18,0.0
50,weekly,2019-10-19/2019-10-25,0.0
50,weekly,2019-10-26/2019-11-01,0.0
50,weekly,2019-11-02/2019-11-08,0.0
50,weekly,2019-11-09/2019-11-15,0.0
50,weekly,2019-11-16/2019-11-22,0.0
50,weekly,2019-11-23/2019-11-29,0.0
50,weekly,2019-11-30/2019-12-06,0.0
50,weekly,2019-12-07/2019-12-13,0.0
50,weekly,2019-12-14/2019-12-20,0.0
50,weekly,2019-12-21/2019-12-27,0.0
50,weekly,2019-12-28/2020-01-03,0.0
50,weekly,2020-01-04/2020-01-10,0.0
50,weekly,2020-01-11/2020-01-17,0.0
50,weekly,2020-01-18/2020-01-24,0.0
50,weekly,2020-01-25/2020-01-31,0.001657124379597
50,weekly,2020-02-01/2020-02-07,0.0
50,weekly,2020-02-08/2020-02-14,0.0
50,weekly,2020-02-15/2020-02-21,0.0
50,weekly,2020-02-22/2020-02-28,-0.021693236221181703
50,weekly,2020-02-29/2020-03-06,0.0140588947344293
50,weekly,2020-03-07/2020-03-13,0.005439545798709956
50,weekly,2020-03-14/2020-03-20,0.021233775394406174
50,weekly,2020-03-21/2020-03-27,-0.0028104522532188033
50,weekly,2020-03-28/2020-04-03,-0.0102018590846896
50,weekly,2020-04-04/2020-04-10,0.0
50,weekly,2020-04-11/2020-04-17,0.0
50,weekly,2020-04-18/2020-04-24,-0.012306853418821902
50,weekly,2020-04-25/2020-05-01,0.0
50,weekly,2020-05-02/2020-05-08,0.0
50,weekly,2020-05-09/2020-05-15,0.0
50,weekly,2020-05-16/2020-05-22,0.0
50,weekly,2020-05-23/2020-05-29,0.0
50,weekly,2020-05-30/2020-06-05,0.0
50,weekly,2020-06-06/2020-06-12,0.0
50,weekly,2020-06-13/2020-06-19,-0.0114041729135431
50,weekly,2020-06-20/2020-06-26,0.0
50,weekly,2020-06-27/2020-07-03,0.0
50,weekly,2020-07-04/2020-07-10,0.0
50,weekly,2020-07-11/2020-07-17,-0.0003381040562275
50,weekly,2020-07-18/2020-07-24,0.0
50,weekly,2020-07-25/2020-07-31,0.0
50,weekly,2020-08-01/2020-08-07,0.0
50,weekly,2020-08-08/2020-08-14,0.0
50,weekly,2020-08-15/2020-08-21,0.0
50,weekly,2020-08-22/2020-08-28,0.0
50,weekly,2020-08-29/2020-09-04,0.008781762358590899
50,weekly,2020-09-05/2020-09-11,0.0
50,weekly,2020-09-12/2020-09-18,0.0
50,weekly,2020-09-19/2020-09-25,-0.0016483226309695
50,weekly,2020-09-26/2020-10-02,0.0
50,weekly,2020-10-03/2020-10-09,0.0
50,weekly,2020-10-10/2020-10-16,0.0
50,weekly,2020-10-17/2020-10-23,0.0
50,weekly,2020-10-24/2020-10-30,-0.0024392053973012
50,weekly,2020-10-31/2020-11-06,0.0
50,weekly,2020-11-07/2020-11-13,0.0032370615067051
50,weekly,2020-11-14/2020-11-20,0.0
50,weekly,2020-11-21/2020-11-27,0.0
50,weekly,2020-11-28/2020-12-04,0.0
50,weekly,2020-12-05/2020-12-11,0.0
50,weekly,2020-12-12/2020-12-18,0.0
50,weekly,2020-12-19/2020-12-25,0.0
50,weekly,2020-12-26/2021-01-01,0.0
50,weekly,2021-01-02/2021-01-08,0.0
50,weekly,2021-01-09/2021-01-15,0.0
50,weekly,2021-01-16/2021-01-22,0.0
50,weekly,2021-01-23/2021-01-29,0.0
50,weekly,2021-01-30/2021-02-05,0.0
50,weekly,2021-02-06/2021-02-12,0.0
50,weekly,2021-02-13/2021-02-19,0.0
50,weekly,2021-02-20/2021-02-26,0.0
50,weekly,2021-02-27/2021-03-05,0.036139315821217106
50,weekly,2021-03-06/2021-03-12,0.0
50,weekly,2021-03-13/2021-03-19,-0.0093472448597129
50,weekly,2021-03-20/2021-03-26,0.0
50,weekly,2021-03-27/2021-04-02,0.0
50,weekly,2021-04-03/2021-04-09,0.0
50,weekly,2021-04-10/2021-04-16,0.0
50,weekly,2021-04-17/2021-04-23,0.0
50,weekly,2021-04-24/2021-04-30,0.0
50,weekly,2021-05-01/2021-05-07,0.0
50,weekly,2021-05-08/2021-05-14,0.0
50,weekly,2021-05-15/2021-05-21,0.0
50,weekly,2021-05-22/2021-05-28,0.0
50,weekly,2021-05-29/2021-06-04,0.0
50,weekly,2021-06-05/2021-06-11,0.0
50,weekly,2021-06-12/2021-06-18,-0.0031907091532025
50,weekly,2021-06-19/2021-06-25,0.0
50,weekly,2021-06-26/2021-07-02,0.0
50,weekly,2021-07-03/2021-07-09,0.0
50,weekly,2021-07-10/2021-07-16,0.0
50,weekly,2021-07-17/2021-07-23,0.0
50,weekly,2021-07-24/2021-07-30,0.0
50,weekly,2021-07-31/2021-08-06,0.0
50,weekly,2021-08-07/2021-08-13,0.0
50,weekly,2021-08-14/2021-08-20,0.0
50,weekly,2021-08-21/2021-08-27,0.0
50,weekly,2021-08-28/2021-09-03,0.0
50,weekly,2021-09-04/2021-09-10,0.0
50,weekly,2021-09-11/2021-09-17,0.0
50,weekly,2021-09-18/2021-09-24,0.0
50,weekly,2021-09-25/2021-10-01,0.0
50,weekly,2021-10-02/2021-10-08,0.0
50,weekly,2021-10-09/2021-10-15,0.0
50,weekly,2021-10-16/2021-10-22,0.0
50,weekly,2021-10-23/2021-10-29,0.0
50,weekly,2021-10-30/2021-11-05,0.0
50,weekly,2021-11-06/2021-11-12,0.0
50,weekly,2021-11-13/2021-11-19,0.0
50,weekly,2021-11-20/2021-11-26,0.0
50,weekly,2021-11-27/2021-12-03,0.0
50,weekly,2021-12-04/2021-12-10,0.0
50,weekly,2021-12-11/2021-12-17,0.0168726116695034
50,weekly,2021-12-18/2021-12-24,0.0041342541091332
50,weekly,2021-12-25/2021-12-31,0.0
50,weekly,2022-01-01/2022-01-07,0.0
50,weekly,2022-01-08/2022-01-14,0.0
50,weekly,2022-01-15/2022-01-21,0.0
50,weekly,2022-01-22/2022-01-28,0.0201349495462177
50,weekly,2022-01-29/2022-02-04,-0.0177085749790938
50,weekly,2022-02-05/2022-02-11,0.0112598650674662
50,weekly,2022-02-12/2022-02-18,-0.000697477524502
50,weekly,2022-02-19/2022-02-25,-0.0025329226995712004
50,weekly,2022-02-26/2022-03-04,0.0047176455489469
50,weekly,2022-03-05/2022-03-11,-0.0152825982399865
50,weekly,2022-03-12/2022-03-18,-0.0103430373789406
50,weekly,2022-03-19/2022-03-25,0.0
50,weekly,2022-03-26/2022-04-01,0.0
50,weekly,2022-04-02/2022-04-08,0.0
50,weekly,2022-04-09/2022-04-15,0.0
50,weekly,2022-04-16/2022-04-22,0.0
50,weekly,2022-04-23/2022-04-29,0.0082759946555515
50,weekly,2022-04-30/2022-05-06,-0.03639476865034389
50,weekly,2022-05-07/2022-05-13,0.013932498476745601
50,weekly,2022-05-14/2022-05-20,0.0
50,weekly,2022-05-21/2022-05-27,-0.004129863858740701
50,weekly,2022-05-28/2022-06-03,-0.0171578532927263
50,weekly,2022-06-04/2022-06-10,0.0
50,weekly,2022-06-11/2022-06-17,0.0488262373606172
50,weekly,2022-06-18/2022-06-24,0.0
50,weekly,2022-06-25/2022-07-01,0.013922066204350199
50,weekly,2022-07-02/2022-07-08,0.0
50,weekly,2022-07-09/2022-07-15,0.0003123574088804001
50,weekly,2022-07-16/2022-07-22,0.0
50,weekly,2022-07-23/2022-07-29,0.0
50,weekly,2022-07-30/2022-08-05,0.0
50,weekly,2022-08-06/2022-08-12,0.0
50,weekly,2022-08-13/2022-08-19,0.0
50,weekly,2022-08-20/2022-08-26,0.0066416174971899
50,weekly,2022-08-27/2022-09-02,0.0
50,weekly,2022-09-03/2022-09-09,0.0
50,weekly,2022-09-10/2022-09-16,0.0
50,weekly,2022-09-17/2022-09-23,-0.0468833712966013
50,weekly,2022-09-24/2022-09-30,0.0030828210455096
50,weekly,2022-10-01/2022-10-07,0.0
50,weekly,2022-10-08/2022-10-14,-0.015239115884352701
50,weekly,2022-10-15/2022-10-21,0.000282816143552
50,weekly,2022-10-22/2022-10-28,0.0184036242142555
50,weekly,2022-10-29/2022-11-04,0.0029774708292952014
50,weekly,2022-11-05/2022-11-11,0.0
50,weekly,2022-11-12/2022-11-18,0.0
50,weekly,2022-11-19/2022-11-25,0.0
50,weekly,2022-11-26/2022-12-02,0.0005703177039189
50,weekly,2022-12-03/2022-12-09,0.0
50,weekly,2022-12-10/2022-12-16,0.0217182375482848
50,weekly,2022-12-17/2022-12-23,0.0
50,weekly,2022-12-24/2022-12-30,0.0
50,weekly,2022-12-31/2023-01-06,-0.004331872723580699
50,weekly,2023-01-07/2023-01-13,0.0
50,weekly,2023-01-14/2023-01-20,0.0
50,weekly,2023-01-21/2023-01-27,0.0
50,weekly,2023-01-28/2023-02-03,0.0061412986156787
50,weekly,2023-02-04/2023-02-10,-0.0251150589705148
50,weekly,2023-02-11/2023-02-17,0.0
50,weekly,2023-02-18/2023-02-24,0.0
50,weekly,2023-02-25/2023-03-03,0.0
50,weekly,2023-03-04/2023-03-10,0.0
50,weekly,2023-03-11/2023-03-17,0.0
50,weekly,2023-03-18/2023-03-24,0.0078042585846330005
50,weekly,2023-03-25/2023-03-31,0.0
50,weekly,2023-04-01/2023-04-07,0.0
50,weekly,2023-04-08/2023-04-14,0.0
50,weekly,2023-04-15/2023-04-21,0.0
50,weekly,2023-04-22/2023-04-28,0.0
50,weekly,2023-04-29/2023-05-05,0.0
50,weekly,2023-05-06/2023-05-12,0.0
50,weekly,2023-05-13/2023-05-19,0.0
50,weekly,2023-05-20/2023-05-26,0.0
50,weekly,2023-05-27/2023-06-02,0.0
50,weekly,2023-06-03/2023-06-09,0.0
50,weekly,2023-06-10/2023-06-16,0.0
50,weekly,2023-06-17/2023-06-23,0.0
50,weekly,2023-06-24/2023-06-30,0.0
50,weekly,2023-07-01/2023-07-07,0.0
50,weekly,2023-07-08/2023-07-14,0.0
50,weekly,2023-07-15/2023-07-21,0.0
50,weekly,2023-07-22/2023-07-28,0.0
50,weekly,2023-07-29/2023-08-04,0.0
50,weekly,2023-08-05/2023-08-11,0.0
50,weekly,2023-08-12/2023-08-18,0.0
50,weekly,2023-08-19/2023-08-25,0.0
50,weekly,2023-08-26/2023-09-01,0.0
50,weekly,2023-09-02/2023-09-08,0.0
50,weekly,2023-09-09/2023-09-15,0.0
50,weekly,2023-09-16/2023-09-22,0.0
50,weekly,2023-09-23/2023-09-29,0.0
50,weekly,2023-09-30/2023-10-06,0.0
50,weekly,2023-10-07/2023-10-13,0.0
50,weekly,2023-10-14/2023-10-20,0.0
50,weekly,2023-10-21/2023-10-27,0.0
50,weekly,2023-10-28/2023-11-03,0.0
50,weekly,2023-11-04/2023-11-10,0.0
50,weekly,2023-11-11/2023-11-17,0.0
50,weekly,2023-11-18/2023-11-24,0.0
50,weekly,2023-11-25/2023-12-01,0.0
50,weekly,2023-12-02/2023-12-08,0.0
50,weekly,2023-12-09/2023-12-15,0.0
50,weekly,2023-12-16/2023-12-22,0.0
50,weekly,2023-12-23/2023-12-29,0.0
50,weekly,2023-12-30/2024-01-05,0.0
50,weekly,2024-01-06/2024-01-12,0.0
50,weekly,2024-01-13/2024-01-19,0.0
50,weekly,2024-01-20/2024-01-26,0.0
50,weekly,2024-01-27/2024-02-02,0.0
50,weekly,2024-02-03/2024-02-09,0.0
50,weekly,2024-02-10/2024-02-16,0.0
50,weekly,2024-02-17/2024-02-23,0.0
50,weekly,2024-02-24/2024-03-01,0.0
50,weekly,2024-03-02/2024-03-08,0.0
50,weekly,2024-03-09/2024-03-15,0.0
50,weekly,2024-03-16/2024-03-22,0.0
50,weekly,2024-03-23/2024-03-29,0.0
50,weekly,2024-03-30/2024-04-05,0.0
50,weekly,2024-04-06/2024-04-12,0.0
50,weekly,2024-04-13/2024-04-19,0.0
50,weekly,2024-04-20/2024-04-26,0.0
50,weekly,2024-04-27/2024-05-03,0.0
50,weekly,2024-05-04/2024-05-10,0.0
50,weekly,2024-05-11/2024-05-17,0.0
50,weekly,2024-05-18/2024-05-24,0.0
50,weekly,2024-05-25/2024-05-31,0.0
50,weekly,2024-06-01/2024-06-07,0.0
50,weekly,2024-06-08/2024-06-14,0.0
50,weekly,2024-06-15/2024-06-21,0.0
50,weekly,2024-06-22/2024-06-28,0.0
50,weekly,2024-06-29/2024-07-05,0.0
50,weekly,2024-07-06/2024-07-12,0.0
50,weekly,2024-07-13/2024-07-19,0.0
50,weekly,2024-07-20/2024-07-26,0.0103358541229385
50,weekly,2024-07-27/2024-08-02,0.0065108033417926
50,weekly,2024-08-03/2024-08-09,-0.005556256709175827
50,weekly,2024-08-10/2024-08-16,0.0
50,weekly,2024-08-17/2024-08-23,0.0043996643545514
50,weekly,2024-08-24/2024-08-30,0.0
50,weekly,2024-08-31/2024-09-06,0.019558237449092755
50,weekly,2024-09-07/2024-09-13,0.0
50,weekly,2024-09-14/2024-09-20,0.0032469903138894842
50,weekly,2024-09-21/2024-09-27,0.0073482895179693
50,weekly,2024-09-28/2024-10-04,0.0
50,weekly,2024-10-05/2024-10-11,0.0
50,weekly,2024-10-12/2024-10-18,0.0
50,weekly,2024-10-19/2024-10-25,0.0
50,weekly,2024-10-26/2024-11-01,0.0
50,weekly,2024-11-02/2024-11-08,0.0
50,weekly,2024-11-09/2024-11-15,0.0
50,weekly,2024-11-16/2024-11-22,0.0
50,weekly,2024-11-23/2024-11-29,0.0
50,weekly,2024-11-30/2024-12-06,0.0
50,weekly,2024-12-07/2024-12-13,0.0
50,weekly,2024-12-14/2024-12-20,0.0
50,weekly,2024-12-21/2024-12-27,0.0
50,weekly,2024-12-28/2025-01-03,0.0
50,weekly,2025-01-04/2025-01-10,0.0
50,weekly,2025-01-11/2025-01-17,0.0
50,weekly,2025-01-18/2025-01-24,0.0
50,weekly,2025-01-25/2025-01-31,0.0
50,weekly,2025-02-01/2025-02-07,0.0
50,weekly,2025-02-08/2025-02-14,0.0
50,weekly,2025-02-15/2025-02-21,0.0
50,weekly,2025-02-22/2025-02-28,0.0
50,weekly,2025-03-01/2025-03-07,0.0006753384324439001
50,weekly,2025-03-08/2025-03-14,-0.0105604405463557
50,weekly,2025-03-15/2025-03-21,-0.00508509472315
50,weekly,2025-03-22/2025-03-28,0.0
50,weekly,2025-03-29/2025-04-04,-0.015243706567272999
50,weekly,2025-04-05/2025-04-11,0.23903504718566504
50,weekly,2025-04-12/2025-04-18,-0.0001676199782112
50,weekly,2025-04-19/2025-04-25,-0.0026696927434616
50,weekly,2025-04-26/2025-05-02,0.0
50,weekly,2025-05-03/2025-05-09,0.0
50,weekly,2025-05-10/2025-05-16,0.0
50,weekly,2025-05-17/2025-05-23,0.0
50,weekly,2025-05-24/2025-05-30,0.0
50,weekly,2025-05-31/2025-06-06,0.0
50,weekly,2025-06-07/2025-06-13,0.0
50,weekly,2025-06-14/2025-06-20,0.0
50,weekly,2025-06-21/2025-06-27,0.0
50,weekly,2025-06-28/2025-07-04,0.0
50,weekly,2025-07-05/2025-07-11,0.0
50,weekly,2025-07-12/2025-07-18,0.0
50,weekly,2025-07-19/2025-07-25,0.0
50,weekly,2025-07-26/2025-08-01,0.0
50,weekly,2025-08-02/2025-08-08,0.0
50,weekly,2025-08-09/2025-08-15,0.0
50,weekly,2025-08-16/2025-08-22,-0.0140680984507746
50,weekly,2025-08-23/2025-08-29,0.0
50,weekly,2025-08-30/2025-09-05,0.0
50,weekly,2025-09-06/2025-09-12,0.0
50,weekly,2025-09-13/2025-09-19,0.0
50,weekly,2025-09-20/2025-09-26,0.0
50,weekly,2025-09-27/2025-10-03,0.0
50,weekly,2025-10-04/2025-10-10,0.0
50,weekly,2025-10-11/2025-10-17,0.0
50,weekly,2025-10-18/2025-10-24,0.0
50,weekly,2025-10-25/2025-10-31,0.006407614931416001
50,weekly,2025-11-01/2025-11-07,0.0
50,weekly,2025-11-08/2025-11-14,0.0
50,weekly,2025-11-15/2025-11-21,-0.0172920533255637
50,weekly,2025-11-22/2025-11-28,0.0
50,weekly,2025-11-29/2025-12-05,0.0
50,weekly,2025-12-06/2025-12-12,0.0
50,weekly,2025-12-13/2025-12-19,0.0
50,weekly,2025-12-20/2025-12-26,0.0
50,weekly,2025-12-27/2026-01-02,0.0
50,weekly,2026-01-03/2026-01-09,0.0
50,weekly,2026-01-10/2026-01-16,0.0
50,weekly,2026-01-17/2026-01-23,0.0
50,weekly,2026-01-24/2026-01-30,0.0
50,weekly,2026-01-31/2026-02-06,0.017818620204401996
50,weekly,2026-02-07/2026-02-13,0.0
50,weekly,2026-02-14/2026-02-20,0.0083254687763178
50,weekly,2026-02-21/2026-02-27,0.0
50,weekly,2026-02-28/2026-03-06,0.0
50,weekly,2026-03-07/2026-03-13,0.0
50,weekly,2026-03-14/2026-03-20,0.0
50,weekly,2026-03-21/2026-03-27,0.0
50,weekly,2026-03-28/2026-04-03,0.0008546048298572
50,weekly,2026-04-04/2026-04-10,0.0
50,weekly,2026-04-11/2026-04-17,0.0
50,weekly,2026-04-18/2026-04-24,0.0
50,weekly,2026-04-25/2026-05-01,0.0
50,monthly,2019-06,0.0
50,monthly,2019-07,0.0
50,monthly,2019-08,-0.0235081633491803
50,monthly,2019-09,-0.0049694079229605
50,monthly,2019-10,-0.0020062077243008
50,monthly,2019-11,0.0
50,monthly,2019-12,0.0
50,monthly,2020-01,0.001657124379597
50,monthly,2020-02,-0.021693236221181703
50,monthly,2020-03,0.037921763674326626
50,monthly,2020-04,-0.022508712503511503
50,monthly,2020-05,0.0
50,monthly,2020-06,-0.0114041729135431
50,monthly,2020-07,-0.0003381040562275
50,monthly,2020-08,0.0
50,monthly,2020-09,0.007133439727621399
50,monthly,2020-10,-0.0024392053973012
50,monthly,2020-11,0.0032370615067051
50,monthly,2020-12,0.0
50,monthly,2021-01,0.0
50,monthly,2021-02,0.0
50,monthly,2021-03,0.02679207096150421
50,monthly,2021-04,0.0
50,monthly,2021-05,0.0
50,monthly,2021-06,-0.0031907091532025
50,monthly,2021-07,0.0
50,monthly,2021-08,0.0
50,monthly,2021-09,0.0
50,monthly,2021-10,0.0
50,monthly,2021-11,0.0
50,monthly,2021-12,0.0210068657786366
50,monthly,2022-01,0.0201349495462177
50,monthly,2022-02,-0.0096791101357008
50,monthly,2022-03,-0.0209079900699802
50,monthly,2022-04,0.0082759946555515
50,monthly,2022-05,-0.02659213403233899
50,monthly,2022-06,0.045590450272241095
50,monthly,2022-07,0.0003123574088804001
50,monthly,2022-08,0.0066416174971899
50,monthly,2022-09,-0.0438005502510917
50,monthly,2022-10,0.003447324473454798
50,monthly,2022-11,0.0035477885332141014
50,monthly,2022-12,0.0217182375482848
50,monthly,2023-01,-0.004331872723580699
50,monthly,2023-02,-0.0189737603548361
50,monthly,2023-03,0.0078042585846330005
50,monthly,2023-04,0.0
50,monthly,2023-05,0.0
50,monthly,2023-06,0.0
50,monthly,2023-07,0.0
50,monthly,2023-08,0.0
50,monthly,2023-09,0.0
